id,code,status_id,branch_id,dat_ecode,mileage,built_year,created_on,created_by
7000001,CAR000001,4,,E486,271713,2021,2026-01-27 23:39:00 UTC,8040
7000002,CAR000002,5,19.0,E364,240591,2015,2025-04-05 18:34:00 UTC,7694
7000003,CAR000003,1,14.0,E698,27995,2016,2025-12-18 03:29:00 UTC,5273
7000004,CAR000004,1,3.0,E126,113665,2023,2025-09-28 14:58:00 UTC,5271
7000005,CAR000005,4,4.0,E444,206619,2022,2026-03-26 22:59:00 UTC,6873
7000006,CAR000006,3,1.0,E768,178579,2016,2025-03-04 13:46:00 UTC,9893
7000007,CAR000007,1,,E198,202515,2022,2026-01-15 16:27:00 UTC,5792
7000008,CAR000008,2,7.0,E390,109783,2020,2024-09-24 18:56:00 UTC,8126
7000009,CAR000009,1,9.0,E431,9723,2025,2025-08-12 16:20:00 UTC,6490
7000010,CAR000010,5,8.0,E596,180912,2019,2026-03-11 13:26:00 UTC,1746
7000011,CAR000011,3,6.0,E914,295120,2021,2024-05-18 22:47:00 UTC,2181
7000012,CAR000012,5,6.0,E439,234676,2016,2025-04-27 22:34:00 UTC,5926
7000013,CAR000013,1,,E979,127205,2023,2024-02-04 04:21:00 UTC,6303
7000014,CAR000014,2,13.0,E995,158734,2023,2025-12-23 15:27:00 UTC,2168
7000015,CAR000015,2,17.0,E762,151744,2024,2025-10-06 13:48:00 UTC,5005
7000016,CAR000016,5,2.0,E787,203040,2018,2026-02-15 23:26:00 UTC,6293
7000017,CAR000017,1,3.0,E122,42663,2017,2025-06-08 11:14:00 UTC,8197
7000018,CAR000018,5,11.0,E186,110259,2015,2025-07-16 18:24:00 UTC,5816
7000019,CAR000019,3,5.0,E989,257757,2022,2025-10-20 16:55:00 UTC,6738
7000020,CAR000020,4,2.0,E321,204052,2020,2025-06-20 12:48:00 UTC,7798
7000021,CAR000021,4,7.0,E359,160406,2025,2024-05-30 01:12:00 UTC,5608
7000022,CAR000022,3,13.0,E620,198929,2018,2024-08-04 20:38:00 UTC,4811
7000023,CAR000023,2,7.0,E327,195397,2022,2024-04-17 17:04:00 UTC,7908
7000024,CAR000024,1,15.0,E325,66028,2022,2024-03-31 15:45:00 UTC,5939
7000025,CAR000025,4,14.0,E277,217780,2017,2024-10-13 11:29:00 UTC,7359
7000026,CAR000026,5,11.0,E813,22569,2023,2024-09-07 12:28:00 UTC,9001
7000027,CAR000027,4,12.0,E727,143928,2025,2026-04-13 15:16:00 UTC,5699
7000028,CAR000028,5,11.0,E241,186672,2018,2025-10-27 07:18:00 UTC,8309
7000029,CAR000029,3,1.0,E871,126842,2022,2026-02-06 14:50:00 UTC,7378
7000030,CAR000030,4,10.0,E125,140008,2017,2025-04-21 13:35:00 UTC,1369
7000031,CAR000031,3,3.0,E415,234387,2020,2025-05-06 13:29:00 UTC,4272
7000032,CAR000032,3,16.0,E884,109893,2025,2024-11-01 02:04:00 UTC,4407
7000033,CAR000033,1,2.0,E758,25385,2024,2024-03-01 19:37:00 UTC,5550
7000034,CAR000034,4,12.0,E507,188206,2023,2026-01-26 01:50:00 UTC,3457
7000035,CAR000035,3,11.0,E350,276426,2020,2024-09-04 23:18:00 UTC,7924
